metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1682420730,1.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_duration,1682420730,14.950900,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_blocked,1682420730,0.718200,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_connecting,1682420730,0.718200,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_tls_handshaking,1682420730,0.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_sending,1682420730,0.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_waiting,1682420730,2.465500,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_receiving,1682420730,12.485400,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_failed,1682420730,0.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
checks,1682420730,1.000000,status is 200,,,,,,,,default,,,,,,,
checks,1682420730,1.000000,content type is text/html,,,,,,,,default,,,,,,,
checks,1682420730,1.000000,verify homepage text,,,,,,,,default,,,,,,,
http_reqs,1682420730,1.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_duration,1682420730,17.527900,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_blocked,1682420730,0.718200,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_connecting,1682420730,0.718200,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_tls_handshaking,1682420730,0.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_sending,1682420730,0.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_waiting,1682420730,7.231100,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_receiving,1682420730,10.296800,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
http_req_failed,1682420730,0.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
checks,1682420730,1.000000,status is 200,,,,,,,,default,,,,,,,
checks,1682420730,1.000000,content type is text/html,,,,,,,,default,,,,,,,
checks,1682420730,1.000000,verify homepage text,,,,,,,,default,,,,,,,
http_reqs,1682420730,1.000000,,,,true,,GET,http://192.168.100.184,HTTP/1.1,default,,200,,,http://192.168.100.184,,
