metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1682505466,1.0,,,,,,,,,,,,,,,,
vus_max,1682505466,200.0,,,,,,,,,,,,,,,,
vus,1682505467,1.0,,,,,,,,,,,,,,,,
vus_max,1682505467,200.0,,,,,,,,,,,,,,,,
vus,1682505468,1.0,,,,,,,,,,,,,,,,
vus_max,1682505468,200.0,,,,,,,,,,,,,,,,
vus,1682505469,2.0,,,,,,,,,,,,,,,,
vus_max,1682505469,200.0,,,,,,,,,,,,,,,,
vus,1682505470,2.0,,,,,,,,,,,,,,,,
vus_max,1682505470,200.0,,,,,,,,,,,,,,,,
vus,1682505471,2.0,,,,,,,,,,,,,,,,
vus_max,1682505471,200.0,,,,,,,,,,,,,,,,
vus,1682505472,3.0,,,,,,,,,,,,,,,,
vus_max,1682505472,200.0,,,,,,,,,,,,,,,,
vus,1682505473,3.0,,,,,,,,,,,,,,,,
vus_max,1682505473,200.0,,,,,,,,,,,,,,,,
vus,1682505474,3.0,,,,,,,,,,,,,,,,
vus_max,1682505474,200.0,,,,,,,,,,,,,,,,
vus,1682505475,4.0,,,,,,,,,,,,,,,,
vus_max,1682505475,200.0,,,,,,,,,,,,,,,,
vus,1682505476,4.0,,,,,,,,,,,,,,,,
vus_max,1682505476,200.0,,,,,,,,,,,,,,,,
vus,1682505477,4.0,,,,,,,,,,,,,,,,
vus_max,1682505477,200.0,,,,,,,,,,,,,,,,
vus,1682505478,5.0,,,,,,,,,,,,,,,,
vus_max,1682505478,200.0,,,,,,,,,,,,,,,,
vus,1682505479,5.0,,,,,,,,,,,,,,,,
vus_max,1682505479,200.0,,,,,,,,,,,,,,,,
vus,1682505480,5.0,,,,,,,,,,,,,,,,
vus_max,1682505480,200.0,,,,,,,,,,,,,,,,
vus,1682505481,6.0,,,,,,,,,,,,,,,,
vus_max,1682505481,200.0,,,,,,,,,,,,,,,,
vus,1682505482,6.0,,,,,,,,,,,,,,,,
vus_max,1682505482,200.0,,,,,,,,,,,,,,,,
vus,1682505483,6.0,,,,,,,,,,,,,,,,
vus_max,1682505483,200.0,,,,,,,,,,,,,,,,
