metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1682263213,1,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_duration,1682263213,182.1964,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_blocked,1682263213,0.5305,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_connecting,1682263213,0.5305,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_tls_handshaking,1682263213,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_sending,1682263213,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_waiting,1682263213,181.1341,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_receiving,1682263213,1.0623,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_failed,1682263213,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
checks,1682263213,1,status is 200,,,,,,,,default,,,,,,,
checks,1682263213,1,content type is text/html,,,,,,,,default,,,,,,,
checks,1682263213,1,verify homepage text,,,,,,,,default,,,,,,,
vus,1682263214,1,,,,,,,,,,,,,,,,
vus_max,1682263214,1,,,,,,,,,,,,,,,,
data_sent,1682263214,86,,,,,,,,,default,,,,,,,
data_received,1682263214,118366,,,,,,,,,default,,,,,,,
iteration_duration,1682263214,1185.219,,,,,,,,,default,,,,,,,
iterations,1682263214,1,,,,,,,,,default,,,,,,,
http_reqs,1682263214,1,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_duration,1682263214,178.2634,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_blocked,1682263214,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_connecting,1682263214,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_tls_handshaking,1682263214,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_sending,1682263214,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_waiting,1682263214,177.217,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_receiving,1682263214,1.0464,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_failed,1682263214,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
checks,1682263214,1,status is 200,,,,,,,,default,,,,,,,
checks,1682263214,1,content type is text/html,,,,,,,,default,,,,,,,
checks,1682263214,1,verify homepage text,,,,,,,,default,,,,,,,
vus,1682263215,1,,,,,,,,,,,,,,,,
vus_max,1682263215,1,,,,,,,,,,,,,,,,
data_sent,1682263215,86,,,,,,,,,default,,,,,,,
data_received,1682263215,118366,,,,,,,,,default,,,,,,,
iteration_duration,1682263215,1193.5159,,,,,,,,,default,,,,,,,
iterations,1682263215,1,,,,,,,,,default,,,,,,,
http_reqs,1682263216,1,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_duration,1682263216,164.8673,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_blocked,1682263216,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_connecting,1682263216,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_tls_handshaking,1682263216,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_sending,1682263216,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_waiting,1682263216,164.3395,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_receiving,1682263216,0.5278,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_failed,1682263216,0,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
checks,1682263216,1,status is 200,,,,,,,,default,,,,,,,
checks,1682263216,1,content type is text/html,,,,,,,,default,,,,,,,
checks,1682263216,1,verify homepage text,,,,,,,,default,,,,,,,
vus,1682263216,1,,,,,,,,,,,,,,,,
vus_max,1682263216,1,,,,,,,,,,,,,,,,
data_sent,1682263217,86,,,,,,,,,default,,,,,,,
data_received,1682263217,118366,,,,,,,,,default,,,,,,,
iteration_duration,1682263217,1165.8343,,,,,,,,,default,,,,,,,
iterations,1682263217,1,,,,,,,,,default,,,,,,,
http_reqs,1682263217,1,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
http_req_duration,1682263217,163.2756,,,,TRUE,,GET,http://192.168.100.151:8080,HTTP/1.1,default,,200,,,http://192.168.100.151:8080,,
